"Loci","Gene","XGB Score","Training_Score","LocusGene(s)","AvgScore_Per_Locus","SD_Per_Locus","Upper_SD_Threshold","direct_PPI_count","secondary_PPI_count","Avg_TopGene_Diff_Per_Locus","Variance_Per_Locus","IQR_Per_Locus","rsID_LEAD_SNP","minTRAIT","Median_Pvalue","Gene_type"
114,"SCN2A",0.732000291347504,0.75,"SCN2A",0.732000291347504,NA,NA,0,3,NA,NA,0,"rs2390258","DBP",2.34e-07,"protein_coding"
115,"BRD1",0.780761539936066,NA,"BRD1",0.780761539936066,NA,NA,0,10,NA,NA,0,"rs77692990","PP,SBP",5.36e-07,"protein_coding"
116,"SLC22A3",0.88077974319458,NA,"SLC22A3",0.88077974319458,NA,NA,0,1,NA,NA,0,"rs555754","PP",2.21e-11,"protein_coding"
117,"BCAR3",0.738964855670929,NA,"BCAR3",0.738964855670929,NA,NA,0,5,NA,NA,0,"rs7514579","SBP",8.08e-07,"protein_coding"
118,"MIA2",0.865638315677643,NA,"CTAGE5, FBXO33, MIA2, RP11-407N17.3",0.641072347760201,0.206044049576045,0.847116397336246,0,0,0.29942129055659,0.0424541503656959,0.278569236397743,NA,"SBP",6.77e-10,"protein_coding"
119,"AC069368.3",0.613744854927063,NA,"AC069368.3, PLEKHO2",0.478359952569008,0.191463165055319,0.669823117624327,0,0,0.27076980471611,0.0366581435730002,0.135384902358055,"rs832890","PP",3.73e-09,"protein_coding"
120,"CTBP1",0.792175710201263,NA,"CTBP1, CTBP1-AS2, MAEA, SPON2, UVSSA",0.702648675441742,0.137939669337345,0.840588344779087,0,37,0.111908793449401,0.0190273523768962,0.042788743972778,NA,"PP",3.32e-10,"protein_coding"
121,"NRG1",0.797765195369721,0.75,"NRG1",0.797765195369721,NA,NA,0,6,NA,NA,0,"rs4733343, rs11991469","PP",1.915e-10,"protein_coding"
122,"MACF1",0.766337931156158,NA,"BMP8A, HEYL, MACF1, PABPC4, PPIEL",0.703497272729874,0.165203078654337,0.868700351384211,1,8,0.206236563622952,0.0272920571968711,0.11973237991333,NA,"DBP",2.63e-05,"protein_coding"
123,"LRRC8C",0.624774694442749,NA,"LRRC8C, RP11-302M6.4",0.619259774684906,0.00779927431694094,0.627059049001847,0,0,0.011029839515686,6.08286798708946e-05,0.00551491975784302,"rs2065152","DBP",1.85e-08,"protein_coding"
124,"BEND7",0.691294074058533,NA,"BEND7",0.691294074058533,NA,NA,0,0,NA,NA,0,"rs10906391","DBP",1.82e-10,"protein_coding"
125,"AMBRA1",0.787594318389893,NA,"AMBRA1, ARHGAP1, ATG13, CKAP5, CREB3L1, DGKZ, F2, LRP4-AS1, MDK, ZNF408",0.682045179605484,0.219791323131686,0.90183650273717,0,11,0.180196278625064,0.048308225723977,0.11009718477726,NA,"DBP",1.2e-16,"protein_coding"
126,"ABHD17C",0.83628123998642,NA,"ABHD17C",0.83628123998642,NA,NA,0,0,NA,NA,0,"rs2062316, rs35199222, rs2759308, rs2627316","SBP",2.86e-26,"protein_coding"
127,"PHIP",0.736316382884979,NA,"IRAK1BP1, PHIP",0.701430916786194,0.0493354992866093,0.750766416072803,0,2,0.069770932197571,0.00243399148985903,0.0348854660987855,"rs10943605, rs9343860","DBP",5e-23,"protein_coding"
128,"CTBP2",0.839568674564362,NA,"CTBP2",0.839568674564362,NA,NA,0,17,NA,NA,0,"rs4411245","DBP",3.86e-06,"protein_coding"
129,"WAC",0.753047108650208,NA,"WAC",0.753047108650208,NA,NA,0,3,NA,NA,0,NA,"DBP",1.2e-08,"protein_coding"
130,"IGF1",0.851753413677216,0.75,"IGF1",0.851753413677216,NA,NA,0,6,NA,NA,0,"rs5742643","SBP",2.08e-09,"protein_coding"
131,"TTLL4",0.876758456230164,NA,"CYP27A1, STK36, TTLL4",0.807910084724426,0.0764482332375524,0.884358317961979,1,1,0.103272557258607,0.00584433236514322,0.0755593776702885,NA,"DBP",1.38e-13,"protein_coding"
132,"EVA1C",0.57515287399292,NA,"EVA1C",0.57515287399292,NA,NA,0,1,NA,NA,0,"rs11701033","SBP",5.42e-08,"protein_coding"
133,"DIP2A",0.756662786006928,NA,"DIP2A",0.756662786006928,NA,NA,1,8,NA,NA,0,"rs11701512","PP",1.87e-09,"protein_coding"
134,"CLPB",0.838953733444214,NA,"CLPB",0.838953733444214,NA,NA,0,2,NA,NA,0,"rs504217","DBP",2.63e-15,"protein_coding"
135,"PSMG2",0.702177405357361,NA,"CEP76, PSMG2, SPIRE1",0.676283439000448,0.0711658606525354,0.747449299652983,0,6,0.081890136003494,0.00506457972241609,0.067540407180786,"rs963920","PP,SBP",1.26e-07,"protein_coding"
136,"KDM1A",0.762107849121094,0.75,"HTR1D, KDM1A, LACTBL1, LUZP1",0.530577005818486,0.29251358094042,0.823090586758907,0,22,0.308707791070143,0.0855641950345879,0.179952589794993,NA,"PP",1.845e-10,"protein_coding"
137,"ATP12A",0.483395904302597,NA,"ATP12A",0.483395904302597,NA,NA,0,0,NA,NA,0,"rs55641580","DBP",1.39e-10,"protein_coding"
138,"KIF15",0.700068831443787,NA,"KIAA1143, KIF15, TMEM42, ZNF501, ZNF502",0.480150932073593,0.207212101873398,0.687363033946991,0,0,0.274897374212742,0.0429368551627914,0.215341836214065,"rs6792918, rs141979279","PP",1.35e-06,"protein_coding"
139,"UBD",0.678237557411194,NA,"GABBR1, MAS1L, MAS1LP1, OR11A1, OR2H1, OR2I1P, OR5V1, RNF39, RPS17P1, SUMO2P1, UBD, UBDP1, ZNRD1, ZNRD1-AS1",0.333718669733831,0.253292995946462,0.587011665680293,0,6,0.448046661913395,0.0641573417955342,0.468205414712429,NA,"DBP",8.335e-22,"protein_coding"
140,"CRAT",0.8729607462883,NA,"CRAT, IER5L, PPP2R4",0.699929704268773,0.200120198424163,0.900049902692936,0,1,0.25954656302929,0.0400480938173264,0.196093127131463,NA,"SBP",9.905e-06,"protein_coding"
141,"SPINK7",0.257137507200241,NA,"SPINK7, SPINK9",0.169887866824865,0.123389624731031,0.293277491555897,0,3,0.174499280750751,0.0152249994912648,0.0872496403753757,NA,"PP",4.58e-10,"protein_coding"
142,"PTPN3",0.920012712478638,NA,"PTPN3",0.920012712478638,NA,NA,0,22,NA,NA,0,NA,"DBP",7.145e-12,"protein_coding"
143,"LRP4",0.556414306163788,NA,"LRP4, LRP4-AS1",0.336973458528519,0.310336222864445,0.647309681392964,0,4,0.438881695270538,0.0963085712217707,0.219440847635269,"rs1585453","DBP, PP, SBP",1.1725e-08,"protein_coding"
144,"KLHL42",0.656856536865234,NA,"KLHL42",0.656856536865234,NA,NA,0,5,NA,NA,0,NA,"PP",1.39e-10,"protein_coding"
145,"POLI",0.886918187141419,NA,"POLI, STARD6",0.494556400924921,0.554883359424304,1.04943976034923,0,3,0.784723572432995,0.307895542566001,0.392361786216498,NA,"DBP",3.61e-16,"protein_coding"
146,"UBA2",0.765724420547485,NA,"GPI, KIAA0355, UBA2",0.711946090062459,0.120187963752122,0.832134053814581,0,13,0.12586236000061,0.0144451466308813,0.11079740524292,NA,"",NA,"protein_coding"
147,"PRPF40A",0.751849234104157,NA,"ARL6IP6, PRPF40A",0.564171642065049,0.265416196015232,0.829587838080281,0,15,0.375355184078217,0.0704457571071961,0.187677592039108,NA,"PP",1.065e-07,"protein_coding"
148,"COBLL1",0.764664232730866,NA,"COBLL1",0.764664232730866,NA,NA,0,1,NA,NA,0,"rs10184004, rs34271465, rs10195252, rs13389219, rs6717858, rs6712203(^)","SBP, DBP",4.09e-12,"protein_coding"
149,"ITGA9",0.716446995735169,NA,"ITGA9",0.716446995735169,NA,NA,0,2,NA,NA,0,"rs267517, rs267561, rs267540, rs267539","SBP",1.54e-15,"protein_coding"
150,"FAM46A",0.356981545686722,NA,"FAM46A",0.356981545686722,NA,NA,0,2,NA,NA,0,"rs9449350","SBP",2.42e-10,"protein_coding"
151,"MRPS31",0.605707406997681,NA,"MRPS31",0.605707406997681,NA,NA,0,2,NA,NA,0,NA,"DBP",6e-10,"protein_coding"
152,"UGP2",0.757985293865204,NA,"UGP2, VPS54, WDPCP",0.716499447822571,0.0761211333274683,0.792620581150039,0,8,0.069549143314362,0.00579442693905821,0.0671090185642245,NA,"DBP",3.005e-08,"protein_coding"
153,"DACH1",0.717957735061646,NA,"DACH1",0.717957735061646,NA,NA,0,10,NA,NA,0,"rs3861113","DBP",1.7e-09,"protein_coding"
154,"LCORL",0.653037488460541,NA,"LCORL",0.653037488460541,NA,NA,0,0,NA,NA,0,"rs2707450, rs2320299, rs2610990, rs2011603","SBP",1.045e-16,"protein_coding"
155,"CLOCK",0.806658387184143,0.75,"CLOCK, SRD5A3-AS1, TMEM165",0.632211615641912,0.265035376521897,0.897246992163809,0,5,0.261670157313346,0.0702437508081036,0.239715740084648,NA,"SBP",2.16e-12,"protein_coding"
156,"SLC22A4",0.777087330818176,NA,"C5orf56, P4HA2, PDLIM4, SLC22A4, SLC22A5",0.719982206821442,0.206539704483609,0.92652191130505,0,2,0.227190554141998,0.0426586495281764,0.0506992936134339,NA,"DBP",1.26e-14,"protein_coding"
156,"SLC22A5",0.803575396537781,NA,"C5orf56, P4HA2, PDLIM4, SLC22A4, SLC22A5",0.719982206821442,0.206539704483609,0.92652191130505,0,2,0.227190554141998,0.0426586495281764,0.0506992936134339,"rs274555","DBP",2.99e-12,"protein_coding"
157,"FYN",0.803805828094482,NA,"FYN",0.803805828094482,NA,NA,1,58,NA,NA,0,"rs2012071","DBP",2.88e-06,"protein_coding"
158,"IL6",0.810854732990265,0.75,"IL6",0.810854732990265,NA,NA,0,1,NA,NA,0,"rs1800795, rs2069833","PP",6.525e-18,"protein_coding"
159,"C1orf21",0.796445965766907,NA,"C1orf21",0.796445965766907,NA,NA,0,0,NA,NA,0,"rs4651224","SBP",3.955e-10,"protein_coding"
160,"ADK",0.639352560043335,NA,"ADK",0.639352560043335,NA,NA,0,6,NA,NA,0,"rs184478328, rs34868542","SBP,PP, DBP",2.905e-07,"protein_coding"
161,"RGS6",0.763434767723084,NA,"RGS6",0.763434767723084,NA,NA,0,3,NA,NA,0,"rs11623535, rs1009017","SBP",2.565e-09,"protein_coding"
162,"CSK",0.783873498439789,NA,"COX5A, CPLX3, CSK, FAM219B, LMAN1L, MPI, SCAMP2, ULK3",0.61854438111186,0.0984073579435426,0.716951739055403,3,26,0.18894756266049,0.00968400809742852,0.112281799316407,"rs1378942","DBP",4.295e-98,"protein_coding"
163,"PDE1A",0.803158402442932,1,"PDE1A, PPP1R1C",0.684841483831406,0.167325390958614,0.85216687479002,0,6,0.236633837223053,0.0279977864594532,0.118316918611526,"rs12693302, rs12996836, rs16823124","DBP",6.19e-34,"protein_coding"
164,"ABI2",0.815271496772766,NA,"ABI2, RAPH1",0.758484274148941,0.0803092604041136,0.838793534553055,0,8,0.11357444524765,0.00644957730665573,0.056787222623825,NA,"PP",1.99e-17,"protein_coding"
165,"RAB1A",0.712449550628662,NA,"CEP68, RAB1A",0.597811236977577,0.162123057932945,0.759934294910522,0,18,0.22927662730217,0.0262838859135291,0.114638313651085,NA,"PP",2.43e-24,"protein_coding"
166,"C7orf63",0.83800083398819,NA,"C7orf63, CDK14",0.822213739156723,0.0223263236211308,0.844540062777854,0,0,0.031574189662934,0.000498464726435465,0.0157870948314669,"rs1134956","PP",2.58e-12,"protein_coding"
167,"AZIN1",0.736558020114899,NA,"AZIN1",0.736558020114899,NA,NA,0,1,NA,NA,0,"rs2513877","DBP",2.645e-08,"protein_coding"
168,"SDCCAG8",0.847940444946289,NA,"SDCCAG8",0.847940444946289,NA,NA,0,2,NA,NA,0,"rs3897821, rs953492, rs10926987, rs6429422","DBP",3.455e-40,"protein_coding"
169,"TSKU",0.58769166469574,NA,"C11orf30, TSKU",0.540787443518639,0.0663325857212036,0.607120029239843,0,0,0.093808442354202,0.00440001192846082,0.046904221177101,"rs1866843","PP",1.82e-09,"protein_coding"
170,"LTBP2",0.703671634197235,NA,"LTBP2",0.703671634197235,NA,NA,2,2,NA,NA,0,"rs11159091, rs2165197","SBP,PP",6.68e-10,"protein_coding"
171,"MLTK",0.555193841457367,NA,"MLTK",0.555193841457367,NA,NA,0,1,NA,NA,0,"rs6758859","DBP",1.0195e-10,"protein_coding"
172,"MEIS1",0.815667808055878,NA,"MEIS1",0.815667808055878,NA,NA,0,8,NA,NA,0,"rs11897119, rs2300481","SBP",1.885e-09,"protein_coding"
173,"BTBD3",0.63336706161499,NA,"BTBD3",0.63336706161499,NA,NA,0,3,NA,NA,0,"rs1232482","DBP",2.87e-11,"protein_coding"
174,"NEBL",0.71785432100296,NA,"NEBL",0.71785432100296,NA,NA,0,2,NA,NA,0,NA,"PP",2.68e-15,"protein_coding"
175,"PDE11A",0.788751721382141,0.75,"PDE11A",0.788751721382141,NA,NA,0,0,NA,NA,0,"rs1837164","SBP",6.69e-09,"protein_coding"
176,"CHD6",0.7330242395401,NA,"CHD6",0.7330242395401,NA,NA,0,0,NA,NA,0,NA,"DBP",5e-18,"protein_coding"
177,"MRAS",0.768849313259125,NA,"MRAS, NME9",0.65264967083931,0.164331110253006,0.816980781092316,0,4,0.23239928483963,0.0270047137969857,0.116199642419815,"rs2306374","DBP",1.2e-14,"protein_coding"
178,"PREX2",0.775946080684662,NA,"PREX2",0.775946080684662,NA,NA,0,1,NA,NA,0,"rs13253358","SBP",1.785e-10,"protein_coding"
179,"TP53INP1",0.881351351737976,NA,"NDUFAF6, TP53INP1",0.78911155462265,0.130446772071037,0.919558326693687,0,4,0.184479594230652,0.017016360343753,0.0922397971153259,"rs896854","PP, SBP",3e-09,"protein_coding"
180,"YOD1",0.769882082939148,NA,"C1orf116, PFKFB2, YOD1",0.662527511517207,0.254742028973239,0.917269540490446,0,11,0.275239512324333,0.0648935013254023,0.237170293927192,"rs2629665","DBP",3.235e-11,"protein_coding"
181,"TGFBR3",0.744079887866974,0.75,"TGFBR3",0.744079887866974,NA,NA,1,7,NA,NA,0,"rs17516329","PP",2.715e-10,"protein_coding"
182,"CACNA1C",0.893913328647614,1,"CACNA1C",0.893913328647614,NA,NA,1,21,NA,NA,0,"rs35407591, rs55935819","DBP",6.335e-12,"protein_coding"
183,"SPEG",0.730957090854645,NA,"ASIC4, GMPPA, SPEG",0.729320128758749,0.04869858988438,0.778018718643129,0,2,0.0717892050743105,0.00237155265672703,0.0486779510974885,"rs12474050","DBP",5.095e-09,"protein_coding"
184,"HLA-DQA1",0.694783210754395,0.75,"HLA-DQA1, HLA-DQB1",0.621186703443527,0.104081178782319,0.725267882225847,0,2,0.147193014621735,0.0108328917767171,0.0735965073108674,"rs2187668","DBP",6.43e-38,"protein_coding"
185,"CCDC68",0.881253957748413,NA,"CCDC68",0.881253957748413,NA,NA,0,2,NA,NA,0,"rs72930904","DBP",5.515e-09,"protein_coding"
186,"ELL",0.80984091758728,NA,"ELL, ISYNA1, SSBP4",0.730855107307434,0.0698146131050373,0.800669720412471,0,5,0.118478715419769,0.00487408020300605,0.066221684217453,"rs8111708","PP",5.15e-12,"protein_coding"
187,"PREX1",0.79953795671463,NA,"PREX1",0.79953795671463,NA,NA,0,4,NA,NA,0,"rs6095221, rs6095241, rs80346118, rs79044887","DBP",1.88e-15,"protein_coding"
188,"WRB",0.661515831947327,NA,"LCA5L, SH3BGR, WRB",0.644144713878632,0.0172966230186675,0.661441336897299,0,1,0.026056677103043,0.0002991731678499,0.017296135425568,NA,"PP",5.83e-07,"protein_coding"
189,"SCN10A",0.739840388298035,0.75,"SCN10A",0.739840388298035,NA,NA,0,1,NA,NA,0,"rs6795970, rs6801957, rs6800541, rs6599251","PP",3.265e-08,"protein_coding"
190,"SHROOM3",0.756419777870178,NA,"SHROOM3",0.756419777870178,NA,NA,0,1,NA,NA,0,"rs10008637","SBP",3.17e-12,"protein_coding"
191,"CCT6A",0.781872749328613,NA,"CCT6A, PHKG1, PSPH, SUMF2",0.705118715763092,0.12116008300822,0.826278798771312,0,22,0.12136991818746,0.0146797657145588,0.119790703058243,"rs6593297","SBP",1.36e-06,"protein_coding"
192,"VWA8",0.754832684993744,NA,"DGKH, VWA8",0.728837579488754,0.0367626307604757,0.76560021024923,0,2,0.051990211009979,0.00135149102043107,0.0259951055049896,NA,"SBP,PP",4.075e-06,"protein_coding"
193,"TMEM91",0.430072009563446,NA,"TMEM91",0.430072009563446,NA,NA,0,0,NA,NA,0,"rs1800470","PP",1.555e-11,"protein_coding"
194,"TTC28",0.636744976043701,NA,"TTC28",0.636744976043701,NA,NA,0,0,NA,NA,0,"rs9608690","SBP",1.58e-08,"protein_coding"
195,"STAG1",0.795533835887909,NA,"STAG1",0.795533835887909,NA,NA,0,4,NA,NA,0,NA,"SBP",4.47e-07,"protein_coding"
196,"PDLIM5",0.887307822704315,NA,"BMPR1B, PDLIM5",0.830134779214859,0.0808548935049354,0.910989672719794,0,6,0.114346086978912,0.00653751380369444,0.0571730434894557,"rs2452600, rs7690296, rs17021918, rs12511169","PP",3.77e-07,"protein_coding"
197,"FNDC1",0.776636600494385,NA,"FNDC1",0.776636600494385,NA,NA,0,0,NA,NA,0,"rs585094, rs73023786","PP",2.02e-30,"protein_coding"
198,"MCPH1",0.868114233016968,NA,"ANGPT2, MCPH1",0.825479865074158,0.0602941013679266,0.885773966442085,0,10,0.08526873588562,0.00363537865976581,0.0426343679428102,"rs2922895","DBP",9.29e-12,"protein_coding"
199,"MCL1",0.719677805900574,0.75,"ENSA, MCL1, POGZ, PSMB4",0.649165205657482,0.157140678745624,0.806305884403107,2,29,0.176943391561508,0.0246931929166355,0.125575669109821,"rs11580946","PP, SBP",8.62e-13,"protein_coding"
200,"LATS2",0.820639789104462,NA,"LATS2",0.820639789104462,NA,NA,0,18,NA,NA,0,"rs2480171, rs2770928","SBP",1.165e-09,"protein_coding"
201,"LIG3",0.870352268218994,NA,"CCT6B, LIG3, RFFL",0.840189158916473,0.0354215262426665,0.87561068515914,0,10,0.0452446639537811,0.00125468452135991,0.0345839858055115,"rs3135967","PP",4.095e-07,"protein_coding"
202,"PIEZO2",0.663833677768707,NA,"PIEZO2",0.663833677768707,NA,NA,0,0,NA,NA,0,"rs7234309, rs11665020","DBP",5.15e-11,"protein_coding"
203,"KIAA1755",0.852854728698731,NA,"KIAA1755",0.852854728698731,NA,NA,0,0,NA,NA,0,"rs3746471, rs4811601, rs1205445","PP",4.07e-09,"protein_coding"
204,"TRIOBP",0.85023307800293,NA,"NOL12, TRIOBP",0.621324047446251,0.323726255562933,0.945050303009184,0,1,0.457818061113358,0.104798688540797,0.228909030556679,"rs5750482","PP",2.725e-08,"protein_coding"
205,"LEF1",0.739004254341126,NA,"LEF1, LEF1-AS1",0.42502884939313,0.444028275929041,0.869057125322171,0,18,0.627950809895993,0.197161109824517,0.313975404947997,"rs7694643","DBP",1.26e-11,"protein_coding"
206,"DUSP1",0.818416953086853,1,"BNIP1, CREBRF, DUSP1",0.780276775360107,0.0343446108122476,0.814621386172355,1,25,0.0572102665901185,0.00117955229184475,0.0333101153373719,"rs34471628","DBP",3.94e-10,"protein_coding"
207,"RGS17",0.475502759218216,NA,"RGS17",0.475502759218216,NA,NA,0,8,NA,NA,0,"rs9479509","DBP",4.17e-09,"protein_coding"
208,"CAMK2B",0.817411601543427,1,"CAMK2B, GCK, YKT6",0.794972737630209,0.0198297944713919,0.814802532101601,0,25,0.0336582958698274,0.000393220748777643,0.018803596496582,NA,"PP",4.6e-10,"protein_coding"
209,"NAA16",0.872447729110718,NA,"NAA16, RAC1P3, SLC25A15, TPTE2P5, TUBBP2, VWA8",0.543332692235708,0.270210415785804,0.813543108021512,0,1,0.394938044250011,0.0730136687991368,0.265615426003933,NA,"SBP",1.255e-12,"protein_coding"
210,"SHMT1",0.821878731250763,0.75,"SHMT1, SMCR8",0.741544872522354,0.11360923253148,0.855154105053834,0,10,0.160667717456818,0.012907057716392,0.080333858728409,"rs941454","DBP, SBP",3.29e-06,"protein_coding"
211,"CCT7",0.701984345912933,NA,"ALMS1, CCT7, EXOC6B, FBXO41, NOTO, PRADC1, RAB11FIP5, SMYD5, SPR",0.646856143242783,0.208928700786601,0.855784844029384,0,18,0.1510861357674,0.0436512020123769,0.076282680034637,NA,"DBP",3.51e-08,"protein_coding"
212,"SLC12A2",0.934444427490234,1,"FBN2, SLC12A2",0.791335761547089,0.202386216269917,0.993721977817006,0,13,0.286217331886291,0.0409601805360536,0.143108665943146,NA,"SBP",6.71e-13,"protein_coding"
213,"REPIN1",0.717127323150635,NA,"LRRC61, REPIN1, ZNF775",0.55349067846934,0.152615425903215,0.706106104372555,0,3,0.245454967021942,0.0232914682236198,0.151050418615342,NA,"SBP",7.23e-08,"protein_coding"
214,"MPP6",0.831957042217255,NA,"DFNA5, MPP6",0.69343039393425,0.195906264751913,0.889336658686163,0,3,0.27705329656601,0.0383792645690467,0.138526648283005,NA,"SBP",3.81e-08,"protein_coding"
215,"PHTF2",0.683164715766907,NA,"PHTF2, RSBN1L, TMEM60",0.679730276266734,0.0718275971859871,0.751557873452721,0,0,0.105073153972626,0.00515920371751243,0.0717659890651704,"rs7796089, rs2428939, rs848445","SBP,PP",4.26e-08,"protein_coding"
215,"TMEM60",0.749779045581818,NA,"PHTF2, RSBN1L, TMEM60",0.679730276266734,0.0718275971859871,0.751557873452721,0,0,0.105073153972626,0.00515920371751243,0.0717659890651704,NA,"SBP",4.74e-08,"protein_coding"
216,"PI15",0.445215910673142,NA,"PI15",0.445215910673142,NA,NA,0,0,NA,NA,0,NA,"PP",6.44e-11,"protein_coding"
217,"DOCK8",0.840710163116455,NA,"C9orf66, CBWD1, DOCK8",0.644915769497553,0.276057385809619,0.920973155307172,0,3,0.293691590428352,0.0762076802600407,0.255767896771431,NA,"SBP",2.95e-08,"protein_coding"
218,"PHC2",0.653852462768555,NA,"PHC2",0.653852462768555,NA,NA,0,5,NA,NA,0,"rs4652875","PP",4.4e-07,"protein_coding"
219,"AMPD3",0.840474843978882,NA,"AMPD3, MRVI1",0.810507178306579,0.0423806792264328,0.852887857533012,0,1,0.0599353313446049,0.00179612197169379,0.0299676656723025,"rs7129220, rs2957683, rs1450271","SBP,DBP",5.015e-26,"protein_coding"
220,"YY1",0.795235335826874,NA,"YY1",0.795235335826874,NA,NA,1,76,NA,NA,0,"rs28470843","PP",2.715e-11,"protein_coding"
221,"GCH1",0.810892820358276,NA,"GCH1",0.810892820358276,NA,NA,0,9,NA,NA,0,NA,"SBP,PP",1.655e-06,"protein_coding"
222,"WDR12",0.849338591098785,NA,"ABI2, CARF, CYP20A1, ICA1L, MRPL50P2, NBEAL1, WDR12",0.578549941735608,0.332887251066388,0.911437192801996,0,8,0.321709052970012,0.110813921922537,0.499135307967663,"rs72928605, rs535040828","PP,SBP, DBP",1.21e-14,"protein_coding"
223,"BDH2",0.835261046886444,NA,"BDH2, CENPE, CISD2, SLC9B1, SLC9B2, UBE2D3",0.66421743730704,0.16356480771511,0.827782245022149,0,3,0.205252331495285,0.0267534463228808,0.126919150352478,"rs58477215","PP, DBP",7.04e-10,"protein_coding"
224,"FRK",0.871378064155579,NA,"FRK",0.871378064155579,NA,NA,0,4,NA,NA,0,"rs1933737, rs3822857","DBP",3.42e-11,"protein_coding"
225,"NUS1",0.781015276908875,NA,"NUS1",0.781015276908875,NA,NA,0,0,NA,NA,0,"rs2498586","SBP",1.04e-06,"protein_coding"
226,"PDE10A",0.826583385467529,0.75,"PDE10A",0.826583385467529,NA,NA,0,1,NA,NA,0,"rs59641479, rs2934849, rs79663716, rs147212971","DBP",7.4e-19,"protein_coding"
227,"KLF14",0.0991045981645584,NA,"KLF14",0.0991045981645584,NA,NA,0,4,NA,NA,0,NA,"SBP",4.13e-15,"protein_coding"
228,"TNS3",0.739935994148254,NA,"TNS3",0.739935994148254,NA,NA,0,9,NA,NA,0,"rs12668436","PP",1.665e-12,"protein_coding"
229,"SNX31",0.567342579364777,NA,"SNX31",0.567342579364777,NA,NA,0,1,NA,NA,0,"rs1693551, rs2978098","DBP",5.305e-18,"protein_coding"
230,"BNIP3",0.832478642463684,NA,"BNIP3, PPP2R2D",0.720242381095886,0.158726043016391,0.878968424112277,0,5,0.224472522735596,0.0251939567316413,0.112236261367798,NA,"SBP",2.2e-10,"protein_coding"
231,"ADAMTS7",0.901062607765198,NA,"ADAMTS7, MORF4L1",0.811405926942826,0.126793693976355,0.938199620919181,0,1,0.179313361644745,0.0160766408321696,0.0896566808223724,"rs62012628, rs62012629","DBP",6.6e-19,"protein_coding"
232,"NAE1",0.815705418586731,NA,"CA7, CCDC79, CDH16, DYNC1LI2, NAE1, PDP2",0.716172873973846,0.0903105945613916,0.806483468535238,0,5,0.119439053535461,0.00815600349003206,0.151497483253479,NA,"DBP",3.295e-17,"protein_coding"
233,"ATG7",0.86922413110733,NA,"ATG7, HRH1",0.813875555992126,0.0782747055859467,0.892150261578073,0,5,0.110697150230407,0.00612692953456664,0.0553485751152035,"rs7624086, rs9837162, rs2442795, rs2574698, rs9840982","SBP",3.34e-24,"protein_coding"
234,"CLN8",0.652427554130554,NA,"CLN8",0.652427554130554,NA,NA,0,3,NA,NA,0,"rs4875958","SBP",6.43e-11,"protein_coding"
235,"MAST2",0.876272141933441,NA,"AKR1A1, CCDC163P, CCDC17, GPBP1L1, HMGB1P48, IPP, MAST2, MMACHC, NASP, PIK3R3, PRDX1, TESK2, TMEM69",0.613512940131701,0.261899785139208,0.875412725270909,0,4,0.284655801951885,0.0685914974559631,0.21932864189148,"rs11211199, rs1707336","PP,DBP",1.32e-10,"protein_coding"
236,"MEF2A",0.784993290901184,NA,"MEF2A",0.784993290901184,NA,NA,0,20,NA,NA,0,"rs2581468, rs4965529","SBP",4.44e-11,"protein_coding"
237,"DNM2",0.779804408550263,NA,"DNM2",0.779804408550263,NA,NA,0,34,NA,NA,0,"rs1529744","PP",1.42e-07,"protein_coding"
238,"ZNF100",0.620894551277161,NA,"ZNF100, ZNF208, ZNF257",0.517449994881948,0.121044561712392,0.63849455659434,0,0,0.155166834592819,0.014651785920145,0.118284165859223,"rs35717293, rs6511291","DBP",1.16e-10,"protein_coding"
238,"ZNF208",0.547129213809967,NA,"ZNF100, ZNF208, ZNF257",0.517449994881948,0.121044561712392,0.63849455659434,0,0,0.155166834592819,0.014651785920145,0.118284165859223,NA,"SBP",7.88e-08,"protein_coding"
239,"RNF126",0.753948926925659,NA,"RNF126",0.753948926925659,NA,NA,0,10,NA,NA,0,NA,"PP",4.75e-09,"protein_coding"
240,"C1QTNF7",0.442552715539932,NA,"C1QTNF7",0.442552715539932,NA,NA,0,0,NA,NA,0,"rs13122790","PP",4.205e-08,"protein_coding"
241,"LINC01006",0.491978913545609,NA,"LINC01006",0.491978913545609,NA,NA,0,0,NA,NA,0,"rs9638084","DBP",5.735e-09,"processed_transcript"
242,"CASP9",0.782999873161316,0.75,"CASP9, CELA2A, CELA2B, DNAJC16",0.662630878388881,0.178380533176912,0.841011411565793,1,22,0.23350649078687,0.0318196146164793,0.252999164164067,NA,"SBP",9.835e-17,"protein_coding"
243,"NME7",0.716742515563965,NA,"BLZF1, CCDC181, NME7",0.714949627717336,0.104010400093145,0.818960027810481,0,3,0.154653549194335,0.0108181633275362,0.103998810052871,"rs7519279","PP",2.56e-17,"protein_coding"
244,"RBFOX1",0.753860414028168,NA,"RBFOX1",0.753860414028168,NA,NA,0,5,NA,NA,0,"rs35450617","SBP",5.14e-07,"protein_coding"
245,"KLF2",0.874193072319031,NA,"KLF2",0.874193072319031,NA,NA,0,4,NA,NA,0,"rs3745318","DBP",2.87e-11,"protein_coding"
246,"RPL17P12",0.102194614708424,NA,"RPL17P12",0.102194614708424,NA,NA,0,0,NA,NA,0,"rs62169544","DBP",5.72e-12,"pseudogene"
