Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	CpGcount	DNaseCluster_count	EnhancerCount	SDI	H3k4me1_count	SignalValue_H3k4me1_median	H3k4me3_count	SignalValue_H3k4me3_median	H3k27Ac_count	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	PolyPhen	DANN_score	CADD_RAW	Eigen-raw_coding_rankscore	GenoCanyon_rankscore	M-CAP_rankscore	MetaLR_rankscore	MetaSVM_rankscore	MutationAssessor_rankscore	REVEL_score	fathmm-MKL_coding_score	integrated_fitCons_rankscore	LoFtool	GERP_Rankscore	BPlabel
CYP11B2	NA	NA	NA	NA	17	-0.3979	10.69897	0	0	89.3696	0	0	0	0	0	0	0.00588415	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044676	0	0	0	0	0	0	0	0	0	0	0	0.00948479	0	0	0	0	0	0	0	0	0	0	0	0.0212902	0	0.191225	0	0	0	0	0.12941	0.957427108	0.957427108	0.826392613	0	0.512275429	3	NA	NA	NA	NA	0.56	3	0	0	0	0	0	NA	32	NA	1.6697435	NA	NA	NA	NA	NA	NA	3.92718E-13	34	7284	NA	NA	295.69785	NA	0.111908376	0	0	NA	NA	1.5	NA	0.497	NA	0.419556	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.651	NA	most likely
CYP17A1	NA	NA	NA	NA	606	0.4083	40.52287875	0.809951	0.612569	6921.5	1.37878	1.25503	1.32349	0.728715	0.45048	0.615187	0.692853	1.62259	1.92631	0.721465	0.638314	0.550322	0.455711	0.743823	0.545054	0.547962	0.451423	0.865661	0.106101	0.120849	2.11449	1.58773	0.560533	0.4759	0.772182	0.501403	0.686962	2.2445	0.325463	0.20228	4.71952	4.72876	1.95006	0.843302	0.572294	1.30152	2.42779	2.11452	0.517213	0.924255	0.941888	0.57041	0.630285	0.594679	0.814818	0.903008	14.5682	6.30804	1.21077	1.00235	0.303964	0.19704	0.957427108	0.957427108	0	0	0.511992836	NA	NA	NA	NA	NA	-0.69	197	1	0.00125392	0.636364	0.000642096	0.001	NA	17	NA	3.92083295	21	8.46485	NA	NA	NA	NA	0.035030608	2	7002	NA	NA	8.73654	NA	0.309100866	0	0	NA	NA	NA	NA	NA	NA	0.409002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
CYP1A2	NA	NA	NA	NA	2317	-0.7345	6.522878745	0.0201136	0.0537581	0.0128524	0.0145153	0.0267522	0	0	0	0	0	0.0111252	0.0150543	0	0	0	0	0	0	0	0	0.0165423	0	0.0593256	0.0174201	0.0076516	0	0	0	0.0152555	0	0.03956	0	0	0.029755	0.0669868	71.5396	0.189513	0.0102511	0	0.0102913	0.0164478	0	0.0143068	0.0171579	0.0958014	0.163965	0	0.0153888	0	0.105563	2.9889	0	0	0.0197973	NA	0.523864921	0	0	0	0.523864921	3	NA	NA	NA	NA	-0.6	NA	0.027027	0	0.35	0.000128659	0.001	NA	14	NA	2.89366853	17	6.34038	NA	NA	18	3.95543	3.28541E-10	5	7358	NA	NA	141.56503	1	0.111908376	0	0	NA	NA	-0.875	NA	NA	NA	1.602465	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.571	NA	most likely
CYP21A2	NA	NA	NA	NA	224	-0.324	5.522878745	0.543362	1.5823	1673.18	0.853139	0.828625	0.562159	2.17328	0.73397	0.502529	0.642381	1.29913	1.45626	0.687337	0.472237	0.526352	0.895308	0.904776	0.521641	0.559248	0.600401	1.10178	0.106131	0.0880692	1.51139	2.36455	2.38598	0.738359	1.50511	0.370594	1.96034	3.22191	0.491444	0.183762	2.80251	2.66735	17.4681	0.775733	2.52129	0.0902374	2.84141	4.62909	0.273204	2.44539	1.60571	0.337649	0.432122	0.893285	3.27061	0.488208	0.987103	2.52037	1.91606	0.645591	0.154983	NA	0.957427108	0.957427108	0	0	0	2	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.96359409	1	7.1103	NA	NA	NA	NA	0.672306731	NA	3405	NA	NA	2760.21963	NA	0.506795704	0	0	NA	NA	NA	0	NA	NA	1.057873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
CYP2C19	NA	NA	NA	NA	212	0.3776	15	0	0	0	0	0	0	0	0	0.0321396	0	0.0227764	0.0570563	0.0230822	0.0247673	0	0.0118295	0	0	0.0251461	0	0	0	0	0	0	0	0.328753	0	3.73312	0	0	0	0	0.0226458	0.00383093	13.2527	0.057295	0.0651891	0	0	0	0.0206248	0	0	0.715937	0.486491	4.92558	0	2.2179	0.0750059	0	0	1.20217	0	0.075645	0.523343755	0	0	0	0.523343755	3	NA	NA	NA	NA	0.71	177	0	0	0	0	0	NA	14	NA	3.866916	NA	NA	NA	NA	NA	NA	2.53769E-10	NA	165106	NA	NA	378.83872	1	0.111908376	0	0	NA	NA	142.875	NA	0.998	0.992782338	3.194993	0.66799	0.74766	0.60137	0.59258	0.58324	0.6217	0.475	0.99757	0.92422	0.76	0.84677	most likely
DALRD3	0.016	0.402	0	NA	282	-0.283	6.301029996	27.4172	21.6485	29.6193	20.2901	23.6525	20.0804	28.9739	10.9072	15.3794	12.2217	26.7474	29.5191	23.4792	20.2154	10.6128	11.969	14.7129	8.91421	10.7512	9.39131	30.7701	36.8842	26.3634	35.595	45.8977	18.6773	20.4073	16.8902	28.891	15.5382	32.1368	8.80305	6.91713	25.1763	29.8695	7.43044	27.3633	22.3868	8.01837	38.5691	43.2787	27.2983	43.4933	30.5989	37.3132	38.5017	22.3257	29.3126	21.8782	125.666	59.0318	33.085	30.007	13.3181	NA	0.500127671	0	0	0	0.500127671	2	5	2	NA	NA	-0.29	NA	NA	NA	NA	NA	NA	2	2	3	NA	4	6.92781	4	27.5239	4	16.3772	1.84814E-05	2	6805	NA	NA	21.66294	1	0.17792584	0	0	NA	NA	NA	0.483605245	NA	NA	0.374253	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0214	NA	probable
DBH	0.184	0.293	0.071	NA	109	0.3188	28.30103	0.207369	0.310297	2.85355	0.181357	0.286014	0.0843999	0.616444	0.364796	1.38511	0.300303	0.773789	0.973767	2.51578	2.11972	0.196572	0.463194	0.308666	0.181733	0.154878	0.161715	0.22238	0.181602	0.0687099	0.951876	1.16589	0.367447	0.303276	0.371934	0.158732	0.28323	1.00974	0.514072	0.0750432	1.1002	1.99861	23.5694	1.82457	0.163501	0.0658249	2.22664	1.08592	1.50839	2.61192	0.917115	0.182559	0.145088	0.687471	1.58215	0.514454	0.659191	0.965215	0.795091	0.400767	0.0903968	NA	0.651169479	0.651169479	0	0	0.534357093	2	4	3	NA	NA	-0.01	NA	0	0	1	0.000770021	0.001	NA	63	NA	12.63081829	30	7.5006	NA	NA	NA	NA	2.54161E-06	8	22984	NA	NA	637.88987	NA	0.390099078	1	0	NA	NA	3	NA	1	0.997859547	4.391446	0.96375	0.74766	0.9965	0.99993	0.99991	0.99096	0.978	0.98549	0.8544	0.000207	0.63131	probable
DDAH1	NA	NA	NA	NA	1	NA	9	13.9445	13.3297	33.4202	37.0194	27.0493	27.3926	25.724	88.1268	114.492	103.381	57.5032	48.7033	92.7442	113.7	63.4053	63.9323	98.8488	74.4421	24.9991	59.0541	14.7879	126.027	0.2433	13.8666	13.1	17.7602	29.4929	8.342	13.2901	12.858	19.2484	5.08619	3.25775	47.3361	60.5404	37.0926	32.9192	15.3997	12.4543	21.8193	6.92988	13.8853	18.5242	26.7791	9.26654	9.94567	22.7818	10.7771	22.7638	28.5401	25.8585	19.637	11.7901	0.118003	0.032933	0.887688063	0	0.887688063	0	0.500084011	1	NA	NA	NA	NA	-0.1	NA	NA	NA	NA	NA	NA	4	167	3680	1.99992492	1291	8.80361	456	4.80926	762	9.76435	0.168276873	NA	259769	NA	NA	77.4528	1	0.591572225	1	1	NA	NA	NA	0.132247748	1	NA	2.021091	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.174	NA	probable
DEFB131	NA	NA	NA	NA	48	0.7071	34.69897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.315077	0	0	0	2.70344	0	0	0	0.25481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.59	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.157398012	NA	5980	NA	NA	8.97171	NA	0.123297259	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
DKFZP434O1614	NA	NA	NA	NA	74	-0.459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1677	NA	NA	139.19509	NA	NA	0	0	NA	NA	NA	NA	NA	NA	2.248798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
DKFZP761K2322	NA	NA	NA	NA	1396	-0.5314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2662	NA	NA	796.35554	NA	NA	0	0	NA	NA	NA	NA	NA	NA	2.258356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	least likely
DLEU2L	NA	NA	NA	NA	30	0.3811	NA	0.867381	0.392936	0.369551	0.634329	0.701089	0.643829	0.716379	0.0999979	0.185348	0.188386	1.50563	2.91896	0.52414	0.279176	0.135532	0.244798	0.262351	0.113832	0.203157	0.104312	0.989247	0.744964	1.03867	1.10814	1.03599	0.63636	0.380114	0.757796	0.331529	0.768163	1.08495	0.430387	0.188748	0.16623	0.259165	0.0872401	0.606326	0.990711	1.01731	1.8527	1.7371	0.371268	1.29128	0.688808	0.937361	0.877014	0.547008	0.354317	0.397664	0.794476	1.01463	1.28928	0.914911	0.0309385	0.0028026	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	817	NA	NA	0.63842	NA	NA	0	0	NA	7.4696	NA	NA	NA	NA	1.63393	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.189	NA	least likely
DPEP1	NA	NA	NA	NA	672	-0.7297	300	0.466378	0.298267	1.91296	0.136163	0.364391	0.107398	0.305901	0.0592308	0.055198	0.0774581	0.0568801	0.100898	0.0849058	0.0468438	0.184471	0.290684	0.0507409	0.0486434	0.115268	0.0575483	0.762313	0.722234	0.0657459	3.83008	1.17032	0.0979688	0.880299	0.116553	0.244941	0.10682	1.42652	0.153521	0.0213491	145.626	33.4813	0.191411	1.04319	0.853388	0.0265513	0.677729	1.92508	169.807	0.582014	0.536636	0.566025	0.892276	229.854	4.43779	1.22354	110.288	1.0724	0.524981	0.913492	0.05106	0.23784	0.503287573	0	0	0	0.503287573	2	5	3	NA	NA	-0.77	NA	0.018018	0.0116845	0.493213	0.0120188	0.023	NA	38	6	8.91291128	131	1.77023	29	10.7442	29	8.31639	0.000136493	58	25123	NA	NA	499.50349	1	0.146139458	0	0	4.21758896	5.2836	NA	NA	0.994	0.995633336	3.487777	0.45577	0.74766	0.67155	0.65299	0.58898	0.496	0.156	0.37198	0.41761	0.863	0.59248	probable
DSP	0.593	0.958	0.953	NA	2	-0.1857	29.52287875	3.59687	7.62382	16.141	1.38994	3.12093	4.61089	3.92949	1.2795	0.599888	0.909328	0.659585	0.972988	1.16534	0.791058	1.12252	0.836765	1.09681	0.860107	1.57016	1.02192	29.9802	9.61245	0.295742	5.14708	4.70859	2.85678	32.1644	2.63031	647.419	2.44316	9.40431	47.0164	52.8373	14.038	17.8792	21.3464	9.07813	87.6854	0.464807	3.89416	3.25121	44.8897	14.7673	34.224	1155.32	1294.44	29.8524	4.59204	35.5722	3.21316	56.6186	3.59491	416.95	0.289415	NA	0.528793336	0	0.528793336	0	0.512730786	3	NA	NA	NA	NA	-2.23	NA	NA	NA	NA	NA	NA	8	51	207	12.88289324	58	10.1219	33	7.78154	16	10.29629	0.999901543	3	45142	NA	NA	4755.60752	NA	0.747131348	0	0	NA	NA	NA	NA	1	0.992580509	5.418672	0.5629	0.74766	0.51198	0.55766	0.63226	0.37844	0.435	0.96745	0.73137	0.883	0.85714	most likely
DUSP1	0.224	0.353	0.167	NA	192	-0.3435	12.69897	1243.2	1446.69	246.629	1984.27	1165.1	1804.53	780.19	56.2714	53.09	69.8608	88.2193	105.478	83.4637	65.0146	73.0582	86.9647	51.9881	61.5061	185.416	85.5637	998.758	276.693	8.24415	700.002	415.454	417.544	266.072	598.364	426.886	479.67	922.405	314.747	122.691	249.783	334.694	422.046	1325.71	429.555	168.692	1093.79	914.725	89.0208	564.847	825.28	1463.66	1134.53	194.546	467.519	249.786	135.061	836.234	520.708	1052.6	884.653	0.0050453	0.913254607	0	0.913254607	0	0.504102662	3	NA	NA	NA	NA	NA	NA	0.5	0.442525	0.868421	0.249566	0.281	3	7	7	1.86907763	7	13.7423	7	41.6385	7	54.239	0.020500202	0	3105	NA	NA	218.27707	1	0.848568261	1	1	NA	NA	0.75	NA	NA	NA	0.21075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	most likely
EDN1	NA	NA	NA	NA	765	0.638	27	64.4625	21.4308	2.28856	9.30044	20.1274	18.4456	8.16392	7.06498	6.65735	9.19616	5.84469	6.20693	7.78189	7.42269	7.34181	5.7765	6.28418	10.0621	7.52479	8.39674	37.2885	2.44735	10.8395	10.4796	15.312	12.8284	13.9468	15.6197	5.74405	16.6301	17.5142	5.8782	3.40171	7.74968	8.77697	1.52907	50.6998	16.8669	4.51796	41.1351	3.66693	4.35487	2.08775	9.47247	18.681	18.2724	13.8654	16.4839	12.4236	7.74557	5.57772	13.3258	10.0732	0.580975	0.01443	0.887688063	0	0.887688063	0	0.514289928	3	NA	NA	NA	NA	-0.21	30	0	0.0379073	0	0.0048793	0.01	NA	29	NA	6.87802251	140	10.4073	49	82.2796	49	38.338	0.081020067	2	6831	NA	NA	747.20557	1	0.449802697	1	0	NA	NA	0.75	NA	NA	NA	2.032816	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.183	NA	most likely
EDNRA	NA	NA	NA	NA	94	0.2822	48.69897	19.251	11.8268	3.43355	16.6484	34.5831	38.318	23.9744	1.21917	1.38223	1.63123	0.694641	0.783454	1.38668	1.4894	1.38417	1.7424	0.956264	1.65496	1.62523	2.29273	14.428	5.60748	0.108652	89.6767	82.2139	4.90931	2.71072	8.58446	4.47396	4.58462	43.6706	19.5755	6.15045	2.69036	6.51635	1.03118	31.115	9.72749	1.94008	18.8777	50.3984	0.637837	4.52835	30.3687	6.60128	7.56075	2.94414	8.08348	3.91945	6.46399	14.7425	55.6348	43.4426	0.0173223	0.012106	0	0	0	0	0	3	NA	NA	NA	NA	-0.38	134	0	0.0100503	0.0909091	0.0147939	0.013	3	24	22	1.74820254	101	8.14156	23	9.0566	14	5.07569	0.986016088	0	64037	NA	NA	6.56136	1	0.800036311	1	1	NA	NA	NA	NA	0.999	NA	1.774987	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0298	NA	most likely
EPB41	NA	NA	NA	NA	14	-0.7151	25.39794001	8.62822	8.85933	8.83226	6.73978	5.94936	5.09653	9.64978	1.15878	1.59431	6.29763	91.482	83.2708	3.24223	3.21658	0.867253	2.83635	4.96411	5.87412	2.21317	2.16002	9.71398	1.45197	11.9262	11.0301	11.1557	8.96762	9.84272	5.41044	12.3024	5.69421	7.24064	4.39174	3.32285	5.75531	8.17767	9.39784	13.5252	10.61	6.72923	3.84101	13.7088	6.59377	8.65442	10.5913	14.9064	14.6653	15.9887	14.975	11.0993	10.3093	12.539	13.5018	10.8257	18.4447	0.0003452	0.500129977	0	0	0	0.500129977	2	3	2	NA	NA	-0.6	NA	0.0292398	0.00463423	0.43038	0.026062	0.027	NA	66	60	10.79296239	256	9.63588	90	10.1666	83	6.95762	0.062109871	2	232950	NA	NA	250.99535	1	0.743839204	0	0	30.68436847	NA	3.25	NA	0.999	0.999305008	4.332208	0.86411	0.74766	0.48797	0.71202	0.73201	0.72568	0.608	0.98887	0.61202	0.87	0.77957	probable
ERVV-1	NA	NA	NA	NA	234	0.5378	NA	0	0.0182105	0	0	0	0	0.0862778	0	0.0142876	0	1.4449	1.48565	0.0329114	0.0294568	0	0	0	0	0	0	0	0	0	0.0863251	0.064133	0.0297854	0	0	0	0	0	0	0.0293089	0	0.554014	0	0	0.0340596	0.0316847	0	0	0	0	0.254503	0	0	0.0204475	0	0	0.100667	0.04218	0	0.389048	0	NA	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	2201	NA	NA	741.13732	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.101	NA	least likely
ESR1	0.082	NA	NA	NA	257	-0.4592	345.5228787	2.0679	1.57471	1.06957	2.719	2.52086	2.77405	1.9739	0.118863	0.118781	0.147093	0.883599	1.33377	0.220201	0.149656	0.120349	0.415845	0.198437	0.0901297	0.210326	0.114166	5.76179	0.322275	0.112573	48.6505	88.8666	0.521786	0.357631	0.879261	0.309111	0.686675	43.2436	0.715569	0.305118	0.775318	0.764026	3.52714	1.80915	0.563924	0.598896	2.13021	7.71652	0.236908	5.81573	5.07228	0.842961	0.728544	0.538486	1.35313	0.310869	2.73794	2.55133	60.7347	45.5687	0.109503	0.0044301	0.514240382	0	0.514240382	0	0.505098572	2	2	3	NA	NA	0.24	NA	0	0.000944287	0.538462	0.00463082	0.004	4	174	33	11.79347495	431	7.2382	145	6.65406	149	8.46886	0.987167021	NA	472928	NA	NA	148.46269	1	0.762403488	1	0	6.448405467	NA	2	NA	1	0.99928426	3.699877	0.88118	0.74766	0.78317	0.70314	0.7402	0.82803	0.733	0.99288	0.92422	0.881	0.98675	probable
ESRRG	NA	NA	NA	NA	108	0.1941	72	0.0581536	0.0564757	2.4038	0.018543	0.107034	0.00931487	0.353347	0.776255	1.3789	0.887295	3.93163	3.3326	1.24	2.50534	0.639502	0.835005	0.984736	0.694803	0.777901	0.964662	0.351884	0.0155826	0.00470666	0.0645368	0.0876547	0.221615	0.151681	0.383625	0.0849228	1.15323	0.15137	2.52412	2.46466	3.65147	5.07646	0.0645291	0.151115	0.438569	1.40568	0.520387	0.0928387	1.02609	1.47278	1.18161	0.505311	0.676682	0.638984	0.364405	10.202	0.453519	2.06649	0.0433866	0.186633	0	0.0030895	0.513919247	0	0.513919247	0	0.50302095	2	2	3	NA	NA	-0.56	NA	0	0.00438871	0	0.0019905	0.002	11	220	24	0	25	3.15805	60	7.65095	24	8.6179	0.93661121	2	634509	NA	NA	15.97048	NA	0.824708164	0	0	NA	NA	NA	NA	NA	NA	2.347053	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0338	NA	probable
F2	NA	NA	NA	NA	108	0.4863	59	0.0436227	0.0422147	0.0388778	0.183414	0.263856	0.562878	0.230383	0.0608626	0.0691144	0.159036	1.70038	1.63811	0.109794	0.102271	0.0663203	0.177328	0.20262	0.122202	0.101464	0.0501632	0.0439019	0.0314615	0.0281983	0.177761	0.0936022	0.423355	0.178708	0.218913	0.0599814	0.217152	0.11964	0.0563038	0.060409	0.0734022	0.0408405	599.629	0.0535151	0.037074	0.0302997	0.0620192	0.187456	0.0319912	0.161261	0.162424	0.0260605	0.0214131	0.0909285	0.0899843	0.358731	1.38948	0.0547054	0.144416	0.100601	0.0727988	0.014188	0.516528718	0	0.494209116	0	0.516528718	NA	NA	NA	NA	NA	-0.71	235	NA	NA	NA	NA	NA	NA	23	1	7.86340488	56	9.86123	NA	NA	15	14.6583	0.959943188	211	20326	NA	NA	1350.01732	1	0.634786546	1	0	NA	NA	3.5	NA	0.998	0.993696852	3.292182	0.63596	0.74766	0.35215	0.48619	0.43515	0.54099	0.211	0.99219	0.73137	0.349	0.8938	probable
FES	NA	NA	NA	NA	71	-0.5613	59	36.1978	42.3251	9.04845	21.4817	27.5878	16.9018	24.1263	3.25868	3.0817	4.65422	2.42732	3.296	6.68529	5.40539	3.12201	3.65211	4.28964	4.04882	5.89766	4.55736	30.1112	10.6241	8.62371	40.696	36.9013	18.1991	13.1205	18.8318	6.25238	16.9329	32.0732	10.6607	7.7032	8.08925	18.7351	14.0175	50.9718	15.9373	3.45149	38.6034	24.0066	4.14013	7.79191	30.0687	9.26288	10.9162	16.9119	165.25	8.84169	8.67099	30.8972	35.9202	21.9232	83.6301	0.061422	0.465192662	0	0.465192662	0	0	2	5	3	NA	NA	-0.92	NA	NA	NA	NA	NA	NA	2	19	32	6.70564693	44	10.8685	37	14.7506	46	11.9727	2.7739E-05	6	12081	NA	NA	107.00427	1	0.705665529	0	0	NA	NA	NA	NA	NA	NA	1.239702	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	probable
FGF5	NA	NA	NA	NA	20	0.2923	50.22184875	0.0110779	0.0121427	0	0.0204234	0.0622635	0.0123168	0.024352	0.0101786	0.0784587	0.00345674	5.80729	5.82121	0.185318	0.231942	0.0317056	0.0346647	0.00816335	0	0.0263375	0.0103653	0.0110159	21.2648	0.00537177	0.0359639	0.0271061	0.963276	0.160058	1.30035	0.00847191	1.52102	0.0365695	0	0.0469535	0.0992895	0.0948937	0	0	0	0.00904264	0.450873	0.0217982	0	0.052651	0.0164774	0.0156179	0.0145227	0.0177438	0	0.0291531	0.0450065	0	0.0267507	0.0144559	0	0.020691	0.50262004	0	0	0	0.50262004	NA	NA	NA	NA	NA	-0.03	186	0	0.00754243	0	0.00155079	0.002	1	36	18	2.89203741	255	7.40216	58	16.3271	153	10.7259	4.31893E-05	0	70081	NA	NA	265.4958	1	0.69255507	0	0	NA	0.005294	NA	NA	NA	NA	1.932533	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.219	NA	probable
FIP1L1	0.088	0.043	0	NA	10	0.3287	NA	37.4758	30.8042	30.1144	42.9414	36.9614	45.4997	37.9418	14.7972	16.6354	15.8848	32.7888	27.1923	18.5665	23.359	14.0138	17.8142	17.819	12.8254	22.1553	14.843	35.52	70.5162	79.6665	47.2424	47.6401	27.4209	25.3434	28.1969	29.2921	27.3071	38.967	16.2783	11.0628	12.9212	21.8298	9.67615	35.1709	27.0762	21.7927	41.9663	55.3792	9.27223	26.7214	29.295	33.9824	35.6117	28.3691	32.1101	20.8175	78.0878	36.6466	45.6233	37.9028	15.6354	0.0079259	0	0	0	0	0	2	4	2	NA	NA	-0.58	NA	NA	NA	NA	NA	NA	22	407	2620	1.12427871	2171	10.2981	639	10.7061	872	10.6375	0.600789667	16	917629	NA	NA	70.2485	1	0.715512335	0	0	NA	NA	NA	NA	1	0.999192739	4.622571	0.93473	0.74766	0.97936	0.97369	0.98514	0.89945	0.97	0.99747	0.8544	0.196	0.98982	probable
FKSG62	NA	NA	NA	NA	358	0.4922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	627	NA	NA	1.92553	NA	NA	0	0	NA	NA	NA	NA	NA	NA	1.005582	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.289	NA	least likely
