Gene	REVEL.max	MetaSVM_rankscore.max	MetaLR_rankscore.max	MCAP.max	wgEncodeBroadHmmHuvecHMM.count	betamax	logpval_gwascatalog	Adipose - Subcutaneous_GTExTPM	Adipose - Visceral (Omentum)_GTExTPM	Adrenal Gland_GTExTPM	Artery - Aorta_GTExTPM	Artery - Coronary_GTExTPM	Artery - Tibial_GTExTPM	Bladder_GTExTPM	Brain - Amygdala_GTExTPM	Brain - Anterior cingulate cortex (BA24)_GTExTPM	Brain - Caudate (basal ganglia)_GTExTPM	Brain - Cerebellar Hemisphere_GTExTPM	Brain - Cerebellum_GTExTPM	Brain - Cortex_GTExTPM	Brain - Frontal Cortex (BA9)_GTExTPM	Brain - Hippocampus_GTExTPM	Brain - Hypothalamus_GTExTPM	Brain - Nucleus accumbens (basal ganglia)_GTExTPM	Brain - Putamen (basal ganglia)_GTExTPM	Brain - Spinal cord (cervical c-1)_GTExTPM	Brain - Substantia nigra_GTExTPM	Breast - Mammary Tissue_GTExTPM	Cells - Cultured fibroblasts_GTExTPM	Cells - EBV-transformed lymphocytes_GTExTPM	Cervix - Ectocervix_GTExTPM	Cervix - Endocervix_GTExTPM	Colon - Sigmoid_GTExTPM	Colon - Transverse_GTExTPM	Esophagus - Gastroesophageal Junction_GTExTPM	Esophagus - Mucosa_GTExTPM	Esophagus - Muscularis_GTExTPM	Fallopian Tube_GTExTPM	Heart - Atrial Appendage_GTExTPM	Heart - Left Ventricle_GTExTPM	Kidney - Cortex_GTExTPM	Kidney - Medulla_GTExTPM	Liver_GTExTPM	Lung_GTExTPM	Minor Salivary Gland_GTExTPM	Muscle - Skeletal_GTExTPM	Nerve - Tibial_GTExTPM	Ovary_GTExTPM	Pancreas_GTExTPM	Pituitary_GTExTPM	Prostate_GTExTPM	Skin - Not Sun Exposed (Suprapubic)_GTExTPM	Skin - Sun Exposed (Lower leg)_GTExTPM	Small Intestine - Terminal Ileum_GTExTPM	Spleen_GTExTPM	Stomach_GTExTPM	Testis_GTExTPM	Thyroid_GTExTPM	Uterus_GTExTPM	Vagina_GTExTPM	Whole Blood_GTExTPM	Adipose_Subcutaneous_GTExFC	Adipose_Visceral_Omentum_GTExFC	Adrenal_Gland_GTExFC	Artery_Aorta_GTExFC	Artery_Coronary_GTExFC	Artery_Tibial_GTExFC	Brain_Amygdala_GTExFC	Brain_Anterior_cingulate_cortex_BA24_GTExFC	Brain_Caudate_basal_ganglia_GTExFC	Brain_Cerebellar_Hemisphere_GTExFC	Brain_Cerebellum_GTExFC	Brain_Cortex_GTExFC	Brain_Frontal_Cortex_BA9_GTExFC	Brain_Hippocampus_GTExFC	Brain_Hypothalamus_GTExFC	Brain_Nucleus_accumbens_basal_ganglia_GTExFC	Brain_Putamen_basal_ganglia_GTExFC	`Brain_Spinal_cord_cervical_c-1`_GTExFC	Brain_Substantia_nigra_GTExFC	Breast_Mammary_Tissue_GTExFC	Cells_Cultured_fibroblasts_GTExFC	`Cells_EBV-transformed_lymphocytes`_GTExFC	Colon_Sigmoid_GTExFC	Colon_Transverse_GTExFC	Esophagus_Gastroesophageal_Junction_GTExFC	Esophagus_Mucosa_GTExFC	Esophagus_Muscularis_GTExFC	Heart_Atrial_Appendage_GTExFC	Heart_Left_Ventricle_GTExFC	Kidney_Cortex_GTExFC	Liver_GTExFC	Lung_GTExFC	Minor_Salivary_Gland_GTExFC	Muscle_Skeletal_GTExFC	Nerve_Tibial_GTExFC	Ovary_GTExFC	Pancreas_GTExFC	Pituitary_GTExFC	Prostate_GTExFC	Skin_Not_Sun_Exposed_Suprapubic_GTExFC	Skin_Sun_Exposed_Lower_leg_GTExFC	Small_Intestine_Terminal_Ileum_GTExFC	Spleen_GTExFC	Stomach_GTExFC	Testis_GTExFC	Thyroid_GTExFC	Uterus_GTExFC	Vagina_GTExFC	Whole_Blood_GTExFC	DeepSEA_Functional_Significance	ExomiserScore	humanscore_Exomiser	mousescore_Exomiser	fishscore_Exomiser	ppiscore_Exomiser	BPmed	SideeffectFreq	Sideeffectseverity	Others	Mechanism	RVIS_Score	Rank	humancellsensitivity	humancellspecificity	mousecellsensitivity	mousecellspecificity	ui_panglaoDB	SDI	SignalValue_H3k4me1_median	SignalValue_H3k4me3_median	SignalValue_H3k27Ac_median	pLI_ExAC	CNVs_ExAC	Gene_length	MGI_Gene	Ratmodel_Gene	GDI_Score	GTEx_signif_sexbias	HIPred	IPA_BP	IPA_Activity	O_GlcNAc_Score	EMS_Max	PharmGKB_Score	ExAc_constraint_obs_exp	SIFT	PolyPhen	LoFtool	CADD_raw	DANN_score	Eigen-raw_coding	GERP++_NR	GERP++_RS	GenoCanyon_score	M-CAP_score	MetaLR_score	MetaSVM_score	MutationAssessor_score	DEOGEN2_score	PROVEAN_score	MutPred_score	REVEL_score	FATHMM_score	fathmm-MKL_coding_score	integrated_fitCons_score	GERP_Rankscore	PMIDB_Metabolite_interactor	interaction	SignalValue_H3k27me3_median	SignalValue_H3k9ac_median	SignalValue_H3k9me1_median	H4k20me1_count	SignalValue_H4k20me1_median	BPlabel
JAG1	NA	NA	NA	NA	167	-0.4961	87	82.0263	47.7821	6.71459	133.443	150.243	202.86	52.9263	6.16671	5.12044	6.0127	2.64924	3.49692	5.33687	5.34787	5.93735	7.20071	6.83169	5.11903	6.80964	6.55407	56.503	10.8577	5.94623	95.1357	94.3557	32.0594	32.319	27.3413	77.3646	20.9079	57.4689	17.3389	10.7266	11.7313	33.7363	3.15198	47.5316	18.8611	7.02678	61.9202	36.3821	10.4507	12.3037	49.6371	99.0538	102.321	20.443	27.063	21.9654	7.95499	45.1281	72.2813	102.176	0.666747	-0.217749	0.104852	0.549019	0.110906	0.198091	0.152017	0.929177	-0.254566	0.287286	-1.011499	-0.279824	0.553345	0.218183	0.277657	0.226934	0.248714	0.811377	0.719501	0.883246	-0.589565	0.901077	0.816815	0.204115	-0.183205	0.154022	0.106678	0.312098	0.100954	0.142507	1.18165	1.257563	0.42131	1.015363	0.100782	0.408339	0.437529	0.554008	-0.689441	-0.917076	-0.092761	-0.335829	0.349424	-1.325135	0.175124	0.265748	0.417264	-0.908045	-1.257258	0.155485	0.0779	0.514437799	0	0.494209116	0	0.514437799	2	5	3	NA	NA	-2.14	NA	0.04	0.0238095	0.111111	0.0285107	0.027	5.85644216	9.83952	7.3112	9.07949	0.999999615868819	4	36362	NA	NA	537.31129	1	0.824708164	0	0	NA	NA	NA	0.355095357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98675	NA	NA	NA	14.9632	1.99957	111	1.15116	probable
KANK2	0.057	0.118	0.003	NA	17	0.1943	236	142.756	99.3733	43.4872	265.33	261.727	390.418	242.963	8.88211	8.24961	10.5902	5.20377	7.321	9.24571	7.90281	7.48873	8.77802	7.55635	9.65481	10.6981	12.4052	92.4969	113.053	9.86729	319.444	364.21	398.781	131.857	370.189	35.7391	388.113	306.757	84.8296	66.6926	22.7477	35.1871	18.4976	140.88	31.3449	19.4472	220.361	232.171	12.3341	21.5931	128.075	31.8123	43.1063	52.0539	51.332	44.5776	26.4551	85.29	425.326	143.401	1.48708	0.161829	0.168229	0.352899	0.113573	-0.164631	0.160919	0.286456	0.684668	0.289928	0.339896	0.294332	0.245579	-0.592911	-0.301678	0.28397	0.411024	-0.485558	0.737563	2.338748	0.197172	0.131876	-0.727703	0.152506	0.124589	0.184379	-0.074616	0.150512	0.181311	0.26958	-0.188535	0.593151	0.098998	-0.189978	0.546449	0.113065	0.254444	0.382308	-0.645945	0.434608	0.385641	0.380306	0.354189	-0.168321	0.20834	0.109284	-0.144719	-0.679518	0.16923	-1.353152	0.0037156	0	0	0	0	0	NA	NA	NA	NA	NA	0.59	NA	NA	NA	NA	NA	NA	2.7428922	7.65948	6.14694	9.92857	0.981511998562845	8	33524	NA	NA	392.42528	1	0.484736234	1	2	5.09575508944034	NA	NA	NA	0.72	0.687	0.357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.43418	1.75265	91	1.55837	possible
KCNB1	NA	NA	NA	NA	24	0.1733	11.397940008672	3.53685	4.44253	0.120658	0.461369	1.05236	1.47285	2.56601	4.01577	8.4139	7.14294	6.84576	6.15347	16.8182	20.9987	4.44218	4.32746	6.48916	5.92757	0.95538	1.80323	2.20832	0.0534366	0.0342439	1.86593	1.66267	7.78945	2.00867	10.6728	0.656755	13.8901	7.48691	0.235032	0.413903	0.14673	0.100107	0.805148	0.464911	1.68295	2.83048	2.18381	0.457975	0.10655	3.86749	1.93148	0.359675	0.593554	0.656601	0.487288	0.584651	0.790368	0.320637	7.6788	0.749559	0.163155	0.274434	0.309601	1.483882	-0.713872	2.311426	-0.258521	-1.866699	0.209453	-0.353293	-0.305215	0.178047	0.528866	0.320032	0.799123	-0.150612	0.055536	-1.677877	0.366436	-0.447031	1.223688	-4.51837	NA	-0.900997	0.310808	0.459647	-0.361922	-0.195963	-0.637085	-0.394538	-2.475567	2.15345	0.537666	1.038339	0.807674	-0.198442	-2.241603	0.3156	0.945318	1.223868	1.049169	0.298502	-1.584365	0.879031	-0.746271	-0.2362	0.355421	-0.518857	0.671909	-0.231972	0.25268	0.501159686	0	0	0	0.501159686	1	NA	NA	NA	NA	-0.05	NA	0	0.000313283	0	0.0192505	0.015	11.69182943	6.20863	13.0076	NA	0.982587869780031	5	118770	NA	NA	123.58507	1	0.728550792	0	0	8.52873328870479	NA	NA	0.089756668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.96744	NA	1.87574	NA	NA	probable
KCNH3	0.323	0.839	0.692	NA	521	-0.4321	13.2218487496164	0.205845	0.561339	3.39632	0.581495	0.344567	0.234867	0.385998	60.7794	75.6405	48.6825	28.594	31.2162	121.145	105.019	53.6047	7.99549	41.5042	37.9372	1.73826	2.05169	0.730023	0.107993	0.871866	0.712799	1.10193	0.498187	0.339682	0.887924	0.218961	0.838692	3.74621	0.792808	0.295965	3.09145	2.77964	0.244868	1.43408	0.593576	0.13758	0.57053	0.782788	0.880114	53.5812	1.58364	0.568178	0.504237	0.643928	1.96054	0.483259	8.00556	2.50751	1.87617	0.715765	3.7969	-1.363231	-0.39546	-2.917994	-0.758973	-1.632976	-2.244392	0.86996	0.096344	-0.11447	-0.297368	-0.4621	0.097852	0.180777	-0.049301	0.917889	0.202542	0.239175	2.89082	1.468013	-0.881263	0.584327	-6.643856	-0.970009	-0.35938	-2.692439	-0.284651	0.673368	1.070408	1.00534	-1.486426	1.067786	0.931099	-6.643856	-0.799557	-1.267536	-6.643856	-0.473564	0.830236	-3.031987	0.394617	0.59588	0.521072	-1.205431	0.457929	0.29217	-0.802005	-6.643856	-2.326677	1.157956	0.0067239	0.500348722	0	0.442034071	0	0.500348722	1	NA	NA	NA	NA	-0.88	NA	NA	NA	NA	NA	NA	3.81588039	5.34301	8.82368	NA	0.999889995234816	2	19151	NA	NA	913.18144	1	0.714798927	0	0	NA	NA	NA	0.368893614	NA	NA	0.0322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.92742	5.61295	1.21845	NA	NA	probable
KCNH4	NA	NA	NA	NA	32	0.2634	9.30102999566398	0.619979	0.531034	0.262734	0.122781	0.261387	0.106102	0.639849	0.442711	0.740917	8.34729	0.097432	0.116747	3.20594	2.62431	0.258038	0.772569	7.52708	8.07091	0.1649	0.135763	0.598502	0.0445805	0.585553	0.233991	0.424264	0.189954	0.161167	0.221088	0.172807	0.203768	0.484081	0.125635	0.161172	0.0737803	0.162161	0.0322178	0.210114	0.116347	0.0505871	0.414982	0.148296	0.0674583	0.543503	0.283291	0.134775	0.1443	0.462919	0.41386	0.139244	0.856897	0.124723	0.513649	0.314408	0.0455897	0.485373	0.42862	-1.886393	0.60617	1.056948	0.437046	-0.842222	3.290522	-0.107856	0.97755	1.539361	-5.051266	-6.643856	-1.026466	-1.047334	0.337483	-0.071811	-1.105127	-0.695682	0.564996	NA	-1.017859	0.480312	0.514466	0.591627	-1.179315	0.673153	-5.529817	0.637062	-1.375185	NA	0.515466	-3.781388	NA	0.474072	1.529932	1.389906	-0.78462	-6.643856	0.535529	0.46701	-0.453521	0.485468	0.385914	-0.943222	0.331427	1.097232	1.628368	1.079111	0.13691	0.500170531	0	0	0	0.500170531	1	NA	NA	NA	NA	-1.68	NA	NA	NA	NA	NA	NA	3.75626441	7.30439	22.3867	11.8418	0.999978751386027	2	24387	NA	NA	71.76069	NA	0.774301469	0	0	NA	NA	NA	0.530265519	0.06	1	0.00241	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.78172	19.0808	2.00532	8	5.62186	probable
KCNJ11	0.168	0.363	0	NA	61	0.4484	47.5228787452803	0.949418	1.25947	0.593442	1.26519	1.00706	1.28588	0.813025	3.50589	7.3046	7.60344	36.7946	37.3675	13.994	13.8977	3.74738	4.1838	6.03235	5.61769	2.59443	3.2078	3.98542	0.0179232	0.300937	0.738837	1.0063	0.801596	1.18128	1.167	0.965794	0.835143	0.790484	7.86672	7.41361	1.7699	3.52342	0.604791	2.69084	1.28561	87.0756	3.27597	0.444601	6.12554	10.7255	2.61874	1.5347	1.60058	1.69858	1.61115	12.1922	1.13664	8.5181	1.06759	0.610628	0.0713407	-1.300195	-1.710119	-0.989272	1.104498	-0.832748	1.178793	-1.36903	0.419071	0.632021	0.097628	0.126363	0.35824	0.260211	0.575236	-0.223949	0.889074	0.583759	-0.98261	0.562481	0.623563	NA	-6.643856	-0.539674	0.423593	1.022347	1.616686	-1.255931	-0.181364	0.209452	1.275264	0.822443	-1.066315	-4.125524	-0.181106	0.212885	-6.643856	0.370076	0.252337	-0.610345	0.744287	0.828907	1.32824	-0.442945	-2.19703	-0.342273	-0.283484	-1.510621	1.266597	-0.360868	0.015342	0.855397621	0	0.855397621	0	0.599494524	3	NA	NA	NA	NA	0.24	41	0	0	0	0.00109079	0.001	14.76606971	8.47009	3.28488	4.68882	0.314724130416306	NA	3472	NA	NA	173.55232	1	0.714407027	1	0	NA	NA	3.75	NA	0.2	0.807	0.0189	3.349887	0.997653975862667	-0.0351865534727812	5.17	5.17	0.999999999999863	0.127372	0.5253	-0.1257	NA	NA	0.15	0.252	0.395	-2.18	0.64278	0.696267	0.9007	NA	NA	2.24457	3.57889	1.29084	NA	NA	most likely
KCNK15	NA	NA	NA	NA	39	-0.2262	6.30102999566398	3.51181	6.0743	2.30117	42.2555	20.3366	12.4475	1.58481	0.165712	0.19739	0.31714	0.104883	0.147661	0.292439	0.284282	0.156741	0.318562	0.662478	0.219225	0.129952	0.168152	4.35231	1.45485	0.0113507	7.09473	8.43841	0.845803	0.527222	2.81987	0.840988	3.31314	6.15963	1.31272	0.297383	0.967893	2.14653	0.133124	3.43284	2.57764	0.202646	3.12709	3.75118	0.962546	4.00184	2.24081	1.71936	2.02025	0.806298	0.283367	2.77503	4.13522	4.77943	4.12396	2.45842	0.00937278	-0.504699	-1.036479	1.046567	0.651999	-6.643856	0.482621	-3.277655	0.852566	-6.643856	-1.083291	1.638641	-1.057826	-1.419491	1.125308	0.964561	0.54262	0.814507	1.304127	-6.643856	1.25633	-1.106669	NA	2.79496	0.465511	1.260644	0.727679	0.65057	0.557028	0.635084	0.857791	1.473949	0.863546	2.185365	0.38504	-1.159445	0.351031	0.539272	0.722264	0.748784	0.725357	0.526199	0.547905	0.827391	0.408937	0.459748	0.653231	1.841207	2.059598	NA	0.099533	0.506875647	0	0	0	0.506875647	NA	NA	NA	NA	NA	0.64	NA	NA	NA	NA	NA	NA	1.74820254	9.64792	10.1489	NA	0.106847941612793	NA	5254	NA	NA	532.76648	1	0.369423717	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.49015	NA	1.35783	NA	NA	least likely
KCNK3	NA	NA	NA	NA	1000	-0.2937	49.2218487496164	4.23221	3.49681	248.278	8.96956	17.011	14.846	6.66233	1.88627	4.90422	2.02043	21.2188	20.3363	7.56164	7.19678	1.05959	7.97607	2.89189	1.13144	1.29606	1.36285	2.97132	0.0649233	0.0314508	6.01913	9.67968	8.65704	5.27853	9.89755	1.28514	8.19911	7.77762	10.9598	0.560941	2.50238	2.46963	0.279457	47.1554	0.500973	0.368533	2.10458	2.14549	16.6972	12.9208	9.18213	0.491731	0.862612	1.77782	1.58644	2.72581	0.812116	7.17164	3.10958	3.98596	0.0223808	-0.274908	0.585405	0.159881	-0.811086	1.239344	0.162531	0.262382	-0.540372	0.267182	-0.143408	0.117526	-0.17756	0.229391	0.428202	-1.047493	-0.545664	-0.415314	-6.643856	0.591273	-0.502602	0.432986	NA	-0.836749	-0.940018	-0.948141	1.310149	0.159581	0.405999	1.733489	-0.872263	-6.643856	0.288914	1.512094	0.276333	-2.637709	-4.202464	0.489346	-0.72197	-6.643856	1.423125	0.298591	0.842329	1.172175	-0.310814	0.646117	-0.244694	-6.643856	-6.643856	NA	0.038053	0.615881762	0.615881762	0	0	0.507794867	2	2	2	NA	NA	NA	NA	0	0.00156642	0	0.00641643	0.005	2.92856602	6.90384	9.1375	7.23042	NA	NA	40669	NA	NA	11.36951	1	NA	1	0	NA	NA	3	NA	0.31	0.998	NA	4.062065	0.996910984099197	0.701778802860559	5.27	5.27	0.999999988976052	0.864976	0.2429	-0.4977	3.025	0.938514	-2.22	0.789	0.554	1.85	0.91147	0.517182	NA	NA	NA	3.27805	NA	1.68562	17	1.93409	probable
KCNK5	NA	NA	NA	NA	247	-0.335	16.698970004336	5.81491	6.28718	1.3584	1.25566	2.73406	1.71348	5.03729	0.0610936	0.0633837	0.089827	0.0411452	0.0810595	0.091483	0.0714829	0.0560928	0.0605588	0.0459518	0.0746746	0.126108	0.118205	8.16122	0.0728893	2.49835	11.0714	8.93011	15.5627	18.7432	10.3156	8.65769	10.5988	5.62962	1.49146	0.311927	33.472	13.3105	11.7436	10.3424	39.4184	0.122577	34.3227	11.4252	13.7486	1.74631	6.2126	26.2521	46.3253	28.4882	3.31311	11.8597	1.78523	21.8199	3.91696	13.8617	0.636127	-1.058411	0.605777	-0.946308	1.126234	1.587908	-2.472556	1.588955	-6.643856	-1.074157	NA	1.437213	-0.534871	-0.846046	-0.878762	2.855685	NA	0.812404	-6.643856	-1.43317	2.296986	-0.404961	1.811517	-2.057953	0.239065	-0.690655	-0.502045	0.858134	0.4179	-0.805423	-0.788945	0.521215	0.528594	-6.643856	-0.470757	-0.390537	0.848354	-0.200991	0.727118	-0.62723	-0.418872	-0.169801	-6.643856	-0.504918	0.366682	-0.104032	0.464836	1.375873	-1.404317	0.635903	0.083703	0	0	0	0	0	NA	NA	NA	NA	NA	7.61e-05	NA	NA	NA	NA	NA	NA	0	3.14625	NA	NA	0.884297675252843	3	40477	NA	NA	357.00957	1	0.72829324	1	1	NA	NA	NA	NA	0.04	0.105	0.16	3.053555	0.994933827475687	0.0572752473420328	5.47	5.47	0.999999999999796	0.016787	0.0289	-1.0814	0.75	0.572209	-3.35	0.454	0.128	1.92	0.94671	0.67177	0.80345	NA	NA	5.39264	NA	NA	13	1.19195	possible
KCNK9	NA	NA	NA	NA	113	0.5171	19.0969100130081	0.0287016	0.0268903	0.217494	0.385597	0.0313851	0.0668723	0.0270651	0.782834	2.37814	0.297751	59.7789	62.6373	5.93212	5.50864	0.834745	3.83434	0.206669	0.305788	0.724782	0.48114	0.0281397	0	0.0590834	0.0589655	0.0319518	0.367992	0.0723082	0.109935	0.0184298	0.044942	0.0808569	0.0167476	0.00809411	0.032694	0.0934417	0	0.0382209	0.0333338	0.0684579	0.0257554	0.0224444	0.0322478	1.21034	0.0365808	0.0261038	0.0405539	0.0677703	0.045873	0.084766	0.177921	0.0334811	0.0627485	0.0275737	0	NA	NA	0.62948	-4.99941	NA	-0.417508	1.569294	-0.641932	-0.750155	0.105938	0.145128	-0.223592	0.765205	-6.643856	-0.488558	-1.896223	-0.199395	-6.643856	1.95827	NA	NA	3.611675	-6.643856	1.816405	-0.879294	NA	2.15485	NA	NA	NA	NA	NA	NA	-1.224263	NA	NA	NA	0.422679	NA	NA	NA	-6.643856	NA	0.575334	1.640661	NA	1.82125	NA	NA	0.011676	0.507825718	0	0	0	0.507825718	2	2	2	NA	NA	-0.38	NA	0	0	0.0534759	0.00500481	0.004	2.92012308	13.2918	5.33766	NA	0.126993745644894	0	102218	NA	NA	5.61975	NA	0.565498233	1	1	NA	NA	NA	NA	0.35	0.263	0.0561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.96877	NA	NA	NA	NA	probable
KCNQ5	0.15	0.897	0.939	NA	53	-0.2653	204.52287874528	0.0552148	0.0622803	0.0531238	3.32062	1.35093	1.53287	1.07658	2.79068	9.91572	10.1555	0.510229	0.448457	13.6778	25.6864	2.75865	1.79249	14.3709	6.52356	0.329058	0.157085	0.108897	0.419737	12.3533	0.0439437	0.0680972	0.575855	0.283156	0.623411	0.347885	0.688662	0.19302	0.103893	0.0114449	0.0366133	0.0128188	0.0303408	0.327316	0.667768	10.7628	0.246628	0.0713013	0.0644584	0.203706	0.974992	0.110294	0.134522	0.810262	1.07402	0.180083	0.481007	3.45673	0.088999	0.622313	0.205968	0.465347	-0.44694	1.55133	1.543246	0.73079	0.278293	0.802135	-6.643856	-0.2307	0.96071	0.29935	0.153651	0.233117	0.969932	0.672302	-0.164555	0.214965	1.247297	-6.643856	1.894309	1.733719	0.582976	0.233357	-0.367074	0.861646	-0.682831	0.805757	-1.346215	NA	NA	NA	1.123184	-2.296884	0.226191	-0.397877	-4.574793	-3.134646	-0.864359	-0.482073	-0.360693	0.811937	0.477499	0.327663	-2.473328	-0.313648	-0.471637	-6.643856	-6.643856	0.250564	0.0091662	0.500176199	0	0	0	0.500176199	2	5	3	NA	NA	-0.73	NA	0	0.000313283	0.00534759	0.000974152	0.001	4.77313532	5.61218	4.92498	6.54566	0.99953508656607	6	577054	NA	NA	200.0252	1	0.716944396	0	0	NA	NA	0	0.160675731	NA	NA	0.0121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.61641	NA	NA	2.108	6.92942	NA	93	1.60031	probable
KDM1A	NA	NA	NA	NA	61	0.3521	8	46.8448	38.6978	44.8151	43.3324	41.6213	46.5753	59.2813	17.8441	23.4058	22.0407	71.8852	65.8311	34.5075	35.018	18.2695	25.9454	25.395	17.9605	19.8724	17.4384	50.4457	77.5607	96.3996	77.3459	79.6792	56.7898	44.1395	50.4159	50.0403	47.1135	76.3724	20.852	16.659	20.9196	34.5629	15.4088	48.8362	54.4873	36.5218	58.6963	86.7773	22.0653	78.1255	62.4977	54.7445	54.7612	49.2654	44.9437	36.534	194.016	58.5977	79.7135	62.9571	9.35315	-0.14553	-0.201583	0.077201	0.027171	-0.097297	-0.187192	-0.388479	-0.084531	-0.192386	-0.206622	-0.057131	0.03563	0.356534	-0.136939	0.061601	-0.07828	-0.106378	0.101855	-0.409041	-0.280951	0.060287	0.453695	-0.256538	-0.250264	-0.161977	-0.144912	-0.052364	0.093338	-0.214338	0.090239	-0.233299	-0.229834	1.054107	0.114711	-0.211127	-0.153318	-0.069706	-0.203003	0.161413	-0.189271	0.064172	0.186236	-0.094826	-0.244456	-0.053857	0.149503	-0.392629	0.425956	-0.184441	0.074624	0	0	0	0	0	2	1	3	NA	NA	-0.43	NA	NA	NA	NA	NA	NA	6.70370701	7.66067	4.34669	9.12466	0.991027964686515	1	64241	NA	NA	22.58422	1	0.745582581	0	0	NA	NA	NA	0.362517101	0.35	0.988	0.337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65419	NA	NA	3.19997	9.07253	2.22747	94	3.24517	probable
KDM6B	0.036	0.485	0	NA	958	-0.4264	7.04575749056067	19.9945	31.7148	14.7666	16.8164	20.2014	21.4874	26.9285	4.37036	5.21943	5.60836	36.519	41.2816	8.50984	6.79872	4.60922	7.73676	5.92285	4.60668	5.10614	3.93115	23.9829	7.61608	25.2173	28.1529	30.2441	27.6544	21.4866	24.9458	18.1156	22.1064	32.6971	13.0445	8.25836	13.4877	15.4284	9.31893	41.7502	18.8204	8.90317	19.7438	60.1807	7.58958	40.1291	27.0961	27.0561	25.2045	28.5358	38.227	18.5906	39.3658	34.381	33.2317	25.6677	64.3633	-0.203648	-0.282189	-0.400196	-0.204428	-0.125489	-0.365121	0.970293	0.42655	0.115847	-0.107394	-0.319592	-0.309414	0.92318	0.491311	0.913024	0.436661	-0.421147	1.375472	0.422886	-0.332839	-0.39567	-0.395724	-0.309551	0.359096	-0.257992	-0.233163	-0.260035	-0.302009	-0.076542	-0.337819	0.354318	-0.062778	-0.331676	0.112828	-0.197821	0.879808	0.205009	-6.643856	-0.159783	-0.246248	-0.21957	1.333922	-0.104474	-0.563076	-0.25922	-0.165595	0.342236	0.203047	-0.14609	0.00022665	0.50104653	0	0	0	0.50104653	2	1	3	NA	NA	-1.32	NA	NA	NA	NA	NA	NA	3.35283215	6.14442	16.5372	53.88	0.999994424921105	36	14892	NA	NA	5734.22375	NA	0.571837127	0	0	4.03266271462294	NA	NA	1.059736683	0.24	0.998	0.2	3.974487	0.98089299084804	0.503639119111775	5.4	4.54	0.999999999999417	0.181583	0.594	0.2386	2.645	0.690196	0.17	0.524	0.617	2.71	0.99724	0.72623	NA	NA	NA	2.30592	56.5588	NA	11	10.1015	probable
KLF2	0.092	0.068	0	NA	30	-0.2679	11	224.379	182.694	25.8718	139.253	150.921	207.85	124.022	9.28551	8.91087	12.2117	7.70639	12.424	16.8151	10.8841	11.9389	12.6179	9.94886	14.1052	16.0349	16.3666	148.103	6.09632	14.7665	81.4397	82.6946	72.9099	45.329	110.285	25.8619	103.617	161.813	54.9287	42.8716	36.0429	37.6228	6.6673	162.522	41.5911	30.0638	295.064	260.698	6.46844	35.293	60.784	70.1931	93.8708	63.2269	106.675	66.7182	32.6249	94.2315	141.078	101.38	198.15	-0.880601	1.145714	0.486699	-0.397404	-0.525437	0.998652	-6.643856	-1.916346	-0.99841	-6.643856	-3.870279	0.809333	0.568973	-0.563231	-1.921189	-0.888593	0.757949	-6.643856	-6.643856	-0.686288	-0.440499	-6.643856	0.78972	-0.364962	0.389473	0.624951	1.02186	0.462446	-1.12469	-6.643856	-1.833723	-2.174816	-1.050716	-0.254774	-0.322759	-6.643856	-1.630623	-1.007756	0.794535	-0.27837	-0.574263	-0.583274	-0.704034	-0.333063	0.514639	-0.401143	-6.643856	0.791327	-0.293742	0.044772	0.504897541	0	0.494209116	0	0.504897541	NA	NA	NA	NA	NA	NA	NA	0.117117	0.0944499	0.531674	0.170574	0.162	1.82330724	9.12921	11.2667	9.38462	0.741705189487728	0	3057	NA	NA	16.89756	1	0.750652254	1	1	NA	NA	NA	NA	0.05	0.191	NA	3.74748	0.987740718802694	-0.243871510132532	3.51	3.51	0.999999989945045	0.372209	0.0255	-1.061	1.765	0.161663	-1.94	0.181	0.185	2.87	0.96574	0.733237	NA	NA	NA	NA	16.2399	1.5234	43	4.75239	possible
